index,Value
2022-02-10,77.58564714285714
2022-02-11,78.34181285714286
2022-02-12,79.09797857142857
2022-02-13,79.85414428571428
2022-02-14,80.61031
2022-02-15,81.36647571428571
2022-02-16,82.12264142857143
2022-02-17,82.87880714285714
2022-02-18,83.63497285714286
2022-02-19,84.39113857142857
2022-02-20,85.14730428571428
2022-02-21,85.90347
2022-02-22,86.65963571428571
2022-02-23,87.41580142857143
2022-02-24,88.17196714285714
2022-02-25,88.92813285714286
2022-02-26,89.68429857142857
2022-02-27,90.44046428571428
2022-02-28,91.19663
2022-03-01,92.14831032258064
2022-03-02,93.09999064516128
2022-03-03,94.05167096774193
2022-03-04,95.00335129032258
2022-03-05,95.95503161290323
2022-03-06,96.90671193548387
2022-03-07,97.85839225806451
2022-03-08,98.81007258064515
2022-03-09,99.76175290322581
2022-03-10,100.71343322580645
2022-03-11,101.6651135483871
2022-03-12,102.61679387096774
2022-03-13,103.56847419354838
2022-03-14,104.52015451612903
2022-03-15,105.47183483870967
2022-03-16,106.42351516129033
2022-03-17,107.37519548387097
2022-03-18,108.32687580645161
2022-03-19,109.27855612903225
2022-03-20,110.2302364516129
2022-03-21,111.18191677419355
2022-03-22,112.1335970967742
2022-03-23,113.08527741935484
2022-03-24,114.03695774193548
2022-03-25,114.98863806451612
2022-03-26,115.94031838709677
2022-03-27,116.89199870967741
2022-03-28,117.84367903225805
2022-03-29,118.79535935483871
2022-03-30,119.74703967741935
2022-03-31,120.69872
2022-04-01,119.679766
2022-04-02,118.66081199999999
2022-04-03,117.641858
2022-04-04,116.62290399999999
2022-04-05,115.60395
2022-04-06,114.58499599999999
2022-04-07,113.566042
2022-04-08,112.547088
2022-04-09,111.528134
2022-04-10,110.50918
2022-04-11,109.49022599999999
2022-04-12,108.471272
2022-04-13,107.45231799999999
2022-04-14,106.433364
2022-04-15,105.41441
2022-04-16,104.395456
2022-04-17,103.37650199999999
2022-04-18,102.357548
2022-04-19,101.338594
2022-04-20,100.31963999999999
2022-04-21,99.300686
2022-04-22,98.281732
2022-04-23,97.262778
2022-04-24,96.24382399999999
2022-04-25,95.22487
2022-04-26,94.205916
2022-04-27,93.186962
2022-04-28,92.168008
2022-04-29,91.14905399999999
2022-04-30,90.1301
2022-05-01,89.45223129032257
2022-05-02,88.77436258064516
2022-05-03,88.09649387096773
2022-05-04,87.41862516129032
2022-05-05,86.7407564516129
2022-05-06,86.06288774193548
2022-05-07,85.38501903225806
2022-05-08,84.70715032258065
2022-05-09,84.02928161290322
2022-05-10,83.3514129032258
2022-05-11,82.67354419354838
2022-05-12,81.99567548387097
2022-05-13,81.31780677419354
2022-05-14,80.63993806451613
2022-05-15,79.9620693548387
2022-05-16,79.28420064516129
2022-05-17,78.60633193548387
2022-05-18,77.92846322580645
2022-05-19,77.25059451612903
2022-05-20,76.57272580645161
2022-05-21,75.89485709677419
2022-05-22,75.21698838709678
2022-05-23,74.53911967741935
2022-05-24,73.86125096774194
2022-05-25,73.18338225806451
2022-05-26,72.50551354838709
2022-05-27,71.82764483870967
2022-05-28,71.14977612903226
2022-05-29,70.47190741935484
2022-05-30,69.79403870967741
2022-05-31,69.11617
2022-06-01,68.994874
2022-06-02,68.873578
2022-06-03,68.752282
