"Date","Price","Open","High","Low","Vol.","Change %"
"22-02-2022","220.50","221.75","225.25","216.15","1.24M","-2.15%"
"21-02-2022","225.35","230.80","231.35","225.00","670.37K","-2.00%"
"18-02-2022","229.95","231.90","233.65","228.65","281.23K","-0.84%"
"17-02-2022","231.90","230.10","236.00","230.10","1.39M","0.37%"
"16-02-2022","231.05","225.00","232.90","225.00","2.29M","2.83%"
"15-02-2022","224.70","231.00","231.00","224.15","1.51M","-0.47%"
"14-02-2022","225.75","230.30","235.70","225.00","1.86M","-1.51%"
"11-02-2022","229.20","228.00","233.40","227.00","1.76M","-0.43%"
"10-02-2022","230.20","232.15","233.55","229.60","370.01K","-0.84%"
"09-02-2022","232.15","231.00","235.00","228.45","800.67K","0.91%"
"08-02-2022","230.05","230.15","234.75","221.55","969.69K","-0.50%"
"07-02-2022","231.20","225.00","235.00","224.95","1.29M","2.76%"
"04-02-2022","225.00","234.00","240.95","224.00","1.44M","-2.68%"
"03-02-2022","231.20","233.50","241.60","230.00","1.30M","-0.99%"
"02-02-2022","233.50","234.00","237.50","231.10","521.08K","-0.11%"
"01-02-2022","233.75","240.85","240.85","232.50","932.66K","-2.46%"
"31-01-2022","239.65","233.00","240.70","231.50","1.80M","3.95%"
"28-01-2022","230.55","231.20","237.50","229.90","905.55K","0.30%"
"27-01-2022","229.85","225.50","235.90","223.50","4.04M","2.25%"
"25-01-2022","224.80","215.90","226.00","212.85","763.45K","3.45%"
"24-01-2022","217.30","222.00","226.50","215.65","1.21M","-1.74%"
"21-01-2022","221.15","222.70","226.90","218.40","2.32M","-1.14%"
"20-01-2022","223.70","224.90","227.35","222.65","693.01K","-0.53%"
"19-01-2022","224.90","226.50","230.85","224.05","1.81M","0.38%"
"18-01-2022","224.05","226.35","229.75","221.05","1.13M","-0.27%"
"17-01-2022","224.65","222.00","229.85","222.00","1.90M","2.67%"
"14-01-2022","218.80","220.60","222.35","217.95","752.37K","-1.40%"
"13-01-2022","221.90","222.00","224.95","221.00","1.47M","0.59%"
"12-01-2022","220.60","217.00","222.50","215.60","2.64M","3.57%"
"11-01-2022","213.00","216.10","217.60","211.70","1.19M","-0.93%"
"10-01-2022","215.00","214.05","221.00","213.00","2.39M","0.44%"
"07-01-2022","214.05","199.70","215.95","199.10","8.18M","8.19%"
"06-01-2022","197.85","193.40","199.00","191.40","1.32M","1.49%"
"05-01-2022","194.95","198.90","198.95","194.05","848.20K","-1.02%"
"04-01-2022","196.95","199.00","202.50","194.95","1.17M","-0.93%"
"03-01-2022","198.80","198.90","202.60","196.45","968.98K","-0.05%"
"31-12-2021","198.90","199.60","202.30","194.05","1.94M","-1.34%"
"30-12-2021","201.60","186.80","211.30","186.70","6.82M","8.97%"
"29-12-2021","185.00","187.00","191.40","183.20","1.30M","-1.07%"
"28-12-2021","187.00","179.95","189.20","178.50","1.72M","6.70%"
"27-12-2021","175.25","176.00","176.50","173.10","402.71K","-0.90%"
"24-12-2021","176.85","181.00","182.05","176.15","460.57K","-1.80%"
"23-12-2021","180.10","183.90","183.95","177.75","649.97K","-0.69%"
"22-12-2021","181.35","185.20","185.20","180.35","649.56K","-1.01%"
"21-12-2021","183.20","173.70","187.40","172.40","1.57M","6.26%"
"20-12-2021","172.40","190.00","190.00","169.60","1.68M","-9.26%"
"17-12-2021","190.00","195.80","196.85","186.25","1.18M","-3.09%"
"16-12-2021","196.05","201.30","202.35","195.00","958.99K","-2.10%"
"15-12-2021","200.25","199.40","203.80","199.05","905.09K","0.15%"
"14-12-2021","199.95","201.40","202.90","199.00","644.89K","-1.96%"
"13-12-2021","203.95","206.90","208.80","202.50","411.37K","-0.54%"
"10-12-2021","205.05","209.00","209.40","204.35","554.55K","-2.12%"
"09-12-2021","209.50","214.40","215.90","209.00","913.27K","-1.60%"
"08-12-2021","212.90","216.20","217.65","210.65","488.12K","-0.19%"
"07-12-2021","213.30","217.35","217.45","212.50","320.33K","-0.68%"
"06-12-2021","214.75","216.20","217.35","213.60","539.54K","-0.56%"
"03-12-2021","215.95","218.00","220.00","214.20","613.79K","-1.28%"
"02-12-2021","218.75","214.00","219.90","211.75","1.05M","2.05%"
"01-12-2021","214.35","213.00","220.55","212.05","1.40M","1.28%"
"30-11-2021","211.65","203.25","214.10","203.15","1.89M","4.13%"
"29-11-2021","203.25","192.20","204.95","190.00","1.41M","2.37%"
"26-11-2021","198.55","202.75","205.90","197.00","1.39M","-2.41%"
"25-11-2021","203.45","204.70","208.60","202.20","692.42K","0.25%"
"24-11-2021","202.95","200.00","205.10","199.10","992.25K","2.86%"
"23-11-2021","197.30","195.90","200.00","191.90","906.75K","0.95%"
"22-11-2021","195.45","213.40","214.95","194.10","2.01M","-8.24%"
"18-11-2021","213.00","219.30","219.75","212.25","920.70K","-3.18%"
"17-11-2021","220.00","220.60","224.20","218.20","578.80K","-1.32%"
"16-11-2021","222.95","223.00","224.00","220.20","444.85K","0.52%"
"15-11-2021","221.80","221.90","226.00","220.25","555.94K","-0.05%"
"12-11-2021","221.90","223.10","223.90","220.95","2.03M","2.42%"
"11-11-2021","216.65","219.40","224.95","216.10","1.21M","-2.39%"
"10-11-2021","221.95","222.20","226.20","220.00","726.05K","0.09%"
"09-11-2021","221.75","223.45","229.00","219.35","1.10M","-0.22%"
"08-11-2021","222.25","221.00","223.90","218.05","530.88K","0.91%"
"04-11-2021","220.25","218.85","221.45","218.85","84.13K","1.40%"
"03-11-2021","217.20","220.95","221.50","216.10","1.26M","-1.70%"
"02-11-2021","220.95","225.90","227.90","220.00","1.39M","-1.95%"
"01-11-2021","225.35","219.00","227.85","219.00","970.11K","0.13%"
"29-10-2021","225.05","218.00","227.00","217.00","2.42M","3.12%"
"28-10-2021","218.25","217.05","223.75","215.00","1.16M","-1.76%"
"27-10-2021","222.15","218.80","224.65","217.15","1.34M","0.75%"
"26-10-2021","220.50","225.95","227.10","216.20","2.28M","-2.09%"
"25-10-2021","225.20","210.55","228.45","210.55","3.51M","7.52%"
"22-10-2021","209.45","221.00","222.00","207.70","1.42M","-3.48%"
"21-10-2021","217.00","232.00","234.05","211.05","12.38M","-4.97%"
"20-10-2021","228.35","232.90","233.55","225.10","741.78K","-2.21%"
"19-10-2021","233.50","236.00","238.95","232.40","701.97K","-0.87%"
"18-10-2021","235.55","241.00","241.55","234.65","1.52M","0.15%"
"14-10-2021","235.20","230.00","243.00","229.95","2.07M","2.39%"
"13-10-2021","229.70","235.10","235.50","229.00","1.08M","-2.23%"
"12-10-2021","234.95","239.40","240.55","234.45","1.00M","-1.86%"
"11-10-2021","239.40","241.60","243.60","238.05","975.93K","-0.15%"
"08-10-2021","239.75","246.85","248.95","239.10","1.58M","-1.11%"
"07-10-2021","242.45","250.90","251.85","241.40","1.31M","-2.45%"
"06-10-2021","248.55","246.30","255.95","244.10","4.80M","2.31%"
"05-10-2021","242.95","244.40","251.95","242.05","4.52M","0.56%"
"04-10-2021","241.60","249.95","250.00","240.05","1.61M","-3.38%"
"01-10-2021","250.05","261.00","267.80","247.95","4.94M","-3.90%"
"30-09-2021","260.20","256.95","266.70","254.45","7.10M","2.26%"
"29-09-2021","254.45","232.40","265.00","229.00","10.42M","9.09%"
"28-09-2021","233.25","220.55","234.90","218.30","5.41M","6.36%"
"27-09-2021","219.30","219.60","220.95","217.10","983.63K","1.06%"
"24-09-2021","217.00","216.30","219.45","214.65","1.67M","1.47%"
"23-09-2021","213.85","221.00","222.70","212.85","1.71M","-1.45%"
"22-09-2021","217.00","210.00","219.80","209.20","2.82M","3.88%"
"21-09-2021","208.90","198.90","210.85","198.30","3.43M","7.05%"
"20-09-2021","195.15","199.70","203.85","193.30","1.05M","-2.33%"
"17-09-2021","199.80","212.00","215.00","197.50","2.81M","-5.53%"
"16-09-2021","211.50","208.50","213.30","208.50","1.96M","2.74%"
"15-09-2021","205.85","199.95","208.95","199.50","3.17M","3.76%"
"14-09-2021","198.40","194.40","200.70","194.35","1.32M","2.61%"
"13-09-2021","193.35","196.80","197.60","190.00","1.15M","-0.80%"
