"Date","Price","Open","High","Low","Vol.","Change %"
"25-01-2022","21.3575","22.8250","24.1375","21.1800","","-6.43%"
"24-01-2022","22.8250","18.8875","23.9000","18.8875","","20.85%"
"21-01-2022","18.8875","17.7900","19.6050","16.9825","","6.17%"
"20-01-2022","17.7900","17.8175","18.4500","17.3200","","-0.15%"
"19-01-2022","17.8175","17.7800","18.4475","15.9400","","0.21%"
"18-01-2022","17.7800","16.7650","17.8750","16.7650","","6.05%"
"17-01-2022","16.7650","16.5550","17.5475","16.2675","","1.27%"
"14-01-2022","16.5550","16.7050","17.1000","15.3425","","-0.90%"
"13-01-2022","16.7050","17.1825","17.5250","16.6075","","-2.78%"
"12-01-2022","17.1825","17.7575","17.9250","16.5475","","-3.24%"
"11-01-2022","17.7575","17.6775","18.2475","16.4375","","0.45%"
"10-01-2022","17.6775","17.6025","18.3900","15.8425","","0.43%"
"07-01-2022","17.6025","17.9775","18.0900","16.8600","","-2.09%"
"06-01-2022","17.9775","17.2275","18.4175","16.4000","","4.35%"
"05-01-2022","17.2275","16.1200","17.3800","15.0875","","6.87%"
"04-01-2022","16.1200","16.4525","16.6750","15.7100","","-2.02%"
"03-01-2022","16.4525","16.2225","16.8100","15.4525","","1.42%"
"31-12-2021","16.2225","16.5650","16.7675","15.4000","","-2.07%"
"30-12-2021","16.5650","16.2425","16.7875","15.2925","","1.99%"
"29-12-2021","16.2425","16.4750","16.8625","15.8000","","-1.41%"
"28-12-2021","16.4750","17.1175","17.1175","15.2075","","-3.75%"
"27-12-2021","17.1175","16.1475","17.2775","15.2625","","6.01%"
"24-12-2021","16.1475","15.8250","16.6525","15.3325","","2.04%"
"23-12-2021","15.8250","16.5800","16.5800","15.6800","","-4.55%"
"22-12-2021","16.5800","17.5375","17.5375","15.6900","","-5.46%"
"21-12-2021","17.5375","18.9650","18.9650","16.6275","","-7.53%"
"20-12-2021","18.9650","16.3375","20.1350","16.3375","","16.08%"
"17-12-2021","16.3375","15.8950","16.9075","13.7600","","2.78%"
"16-12-2021","15.8950","17.2175","17.2175","15.2625","","-7.68%"
"15-12-2021","17.2175","16.9525","17.7125","15.7675","","1.56%"
"14-12-2021","16.9525","16.5700","17.3300","13.9375","","2.31%"
"13-12-2021","16.5700","16.0600","16.8600","14.6750","","3.18%"
"10-12-2021","16.0600","16.6025","16.9325","15.2100","","-3.27%"
"09-12-2021","16.6025","17.2650","17.4350","15.5400","","-3.84%"
"08-12-2021","17.2650","18.4600","18.4600","16.5650","","-6.47%"
"07-12-2021","18.4600","20.0775","20.0775","18.2425","","-8.06%"
"06-12-2021","20.0775","18.4550","20.4775","18.3000","","8.79%"
"03-12-2021","18.4550","18.0875","18.8325","17.2100","","2.03%"
"02-12-2021","18.0875","19.4475","22.9650","18.0025","","-6.99%"
"01-12-2021","19.4475","21.1675","21.1675","18.9350","","-8.13%"
"30-11-2021","21.1675","20.8300","21.9650","18.8075","","1.62%"
"29-11-2021","20.8300","20.8025","23.8200","18.8925","","0.13%"
"26-11-2021","20.8025","16.6625","21.3925","16.0500","","24.85%"
"25-11-2021","16.6625","17.0950","18.0725","16.0025","","-2.53%"
"24-11-2021","17.0950","18.0150","18.0150","15.5775","","-5.11%"
"23-11-2021","18.0150","17.5200","20.0250","16.7925","","2.83%"
"22-11-2021","17.5200","14.8575","18.0825","13.5625","","17.92%"
"18-11-2021","14.8575","14.9800","16.1475","12.0800","","-0.82%"
"17-11-2021","14.9800","15.1950","15.4125","13.9150","","-1.41%"
"16-11-2021","15.1950","15.4650","15.6825","13.5800","","-1.75%"
"15-11-2021","15.4650","15.2175","15.8425","13.4275","","1.63%"
"12-11-2021","15.2175","16.3525","16.3525","14.6450","","-6.94%"
"11-11-2021","16.3525","16.3050","17.2850","14.6450","","0.29%"
"10-11-2021","16.3050","16.0025","16.6850","15.1400","","1.89%"
"09-11-2021","16.0025","16.3400","16.6150","14.6425","","-2.07%"
"08-11-2021","16.3400","15.7475","16.9250","13.9900","","3.76%"
"04-11-2021","15.7475","16.1250","16.4125","14.3050","","-2.34%"
"03-11-2021","16.1250","17.0625","17.0625","15.7000","","-5.49%"
"02-11-2021","17.0625","17.2350","17.7875","16.3600","","-1.00%"
"01-11-2021","17.2350","17.4250","18.0950","15.3825","","-1.09%"
"29-10-2021","17.4250","17.9125","19.6400","16.2825","","-2.72%"
"28-10-2021","17.9125","16.8275","18.4325","16.8125","","6.45%"
"27-10-2021","16.8275","16.7525","17.0325","15.4025","","0.45%"
"26-10-2021","16.7525","17.6100","17.7250","16.6450","","-4.87%"
"25-10-2021","17.6100","17.5450","18.7575","14.5075","","0.37%"
"22-10-2021","17.5450","18.0350","18.0350","14.3550","","-2.72%"
"21-10-2021","18.0350","18.3125","18.7950","14.9075","","-1.52%"
"20-10-2021","18.3125","17.3825","18.8650","15.2325","","5.35%"
"19-10-2021","17.3825","17.1850","17.5425","14.2350","","1.15%"
"18-10-2021","17.1850","15.7675","17.3150","14.1550","","8.99%"
"14-10-2021","15.7675","16.1000","16.2850","12.6125","","-2.07%"
"13-10-2021","16.1000","15.8475","16.2200","13.3800","","1.59%"
"12-10-2021","15.8475","16.0850","16.3975","13.9375","","-1.48%"
"11-10-2021","16.0850","15.6525","16.4100","12.2300","","2.76%"
"08-10-2021","15.6525","16.1550","16.4025","15.5325","","-3.11%"
"07-10-2021","16.1550","17.3325","17.3325","14.4525","","-6.79%"
"06-10-2021","17.3325","16.3975","17.5900","16.1075","","5.70%"
"05-10-2021","16.3975","16.7350","17.1325","16.2950","","-2.02%"
"04-10-2021","16.7350","17.2100","17.5300","15.3175","","-2.76%"
"01-10-2021","17.2100","18.4025","19.0750","16.9975","","-6.48%"
"30-09-2021","18.4025","18.8375","19.1375","17.1500","","-2.31%"
"29-09-2021","18.8375","18.5350","19.4350","16.7575","","1.63%"
