index,Value
31-12-2021,72.70027066
01-01-2022,70.02399
02-01-2022,70.03797084
03-01-2022,70.05195169
04-01-2022,70.06593253
05-01-2022,70.07991338
06-01-2022,70.09389422
07-01-2022,70.10787506
08-01-2022,70.12185591
09-01-2022,70.13583675
10-01-2022,70.1498176
11-01-2022,70.16379844
12-01-2022,70.17777928
13-01-2022,70.19176013
14-01-2022,70.20574097
15-01-2022,70.21972182
16-01-2022,70.23370266
17-01-2022,70.24768351
18-01-2022,70.26166435
19-01-2022,70.27564519
20-01-2022,70.28962604
21-01-2022,70.30360688
22-01-2022,70.31758773
23-01-2022,70.33156857
24-01-2022,70.34554941
25-01-2022,70.35953026
26-01-2022,70.3735111
27-01-2022,70.38749195
28-01-2022,70.40147279
29-01-2022,70.41545363
30-01-2022,70.42943448
31-01-2022,70.44341532
01-02-2022,91.19663
02-02-2022,91.19696868
03-02-2022,91.19730736
04-02-2022,91.19764604
05-02-2022,91.19798472
06-02-2022,91.1983234
07-02-2022,91.19866207
08-02-2022,91.19900075
09-02-2022,91.19933943
10-02-2022,91.19967811
11-02-2022,91.20001679
12-02-2022,91.20035547
13-02-2022,91.20069415
14-02-2022,91.20103283
15-02-2022,91.20137151
16-02-2022,91.20171019
17-02-2022,91.20204887
18-02-2022,91.20238755
19-02-2022,91.20272622
20-02-2022,91.2030649
21-02-2022,91.20340358
22-02-2022,91.20374226
23-02-2022,91.20408094
24-02-2022,91.20441962
25-02-2022,91.2047583
26-02-2022,91.20509698
27-02-2022,91.20543566
28-02-2022,91.20577434
01-03-2022,120.69872
02-03-2022,120.6800496
03-03-2022,120.6613792
04-03-2022,120.6427088
05-03-2022,120.6240384
06-03-2022,120.605368
07-03-2022,120.5866976
08-03-2022,120.5680272
09-03-2022,120.5493568
10-03-2022,120.5306864
11-03-2022,120.512016
12-03-2022,120.4933456
13-03-2022,120.4746752
14-03-2022,120.4560048
15-03-2022,120.4373344
16-03-2022,120.418664
17-03-2022,120.3999936
18-03-2022,120.3813232
19-03-2022,120.3626528
20-03-2022,120.3439824
