"Date","Price","Open","High","Low","Vol.","Change %"
"22-03-2023","317.75","321.00","325.00","316.85","10.75M","2.30%"
"21-03-2023","310.60","314.90","316.00","309.10","1.57M","0.00%"
"20-03-2023","310.60","316.80","317.25","309.55","1.41M","-0.48%"
"17-03-2023","312.10","312.00","318.00","309.00","6.32M","2.38%"
"16-03-2023","304.85","296.55","306.00","296.25","2.00M","3.30%"
"15-03-2023","295.10","296.40","309.95","294.00","2.80M","0.08%"
"14-03-2023","294.85","301.20","304.65","293.60","1.64M","-1.86%"
"13-03-2023","300.45","307.00","314.00","297.50","3.53M","-1.30%"
"10-03-2023","304.40","311.00","311.90","303.70","687.46K","-2.33%"
"09-03-2023","311.65","310.05","313.00","310.05","238.21K","0.55%"
"08-03-2023","309.95","312.00","319.70","309.25","829.26K","-0.64%"
"06-03-2023","311.95","312.50","316.70","311.00","492.23K","0.06%"
"03-03-2023","311.75","314.50","315.65","310.15","344.25K","-0.24%"
"02-03-2023","312.50","311.55","316.00","309.90","244.04K","0.30%"
"01-03-2023","311.55","304.00","314.00","301.25","743.90K","2.48%"
"28-02-2023","304.00","307.00","307.55","295.95","636.95K","-1.49%"
"27-02-2023","308.60","318.70","318.70","308.00","395.86K","-3.55%"
"24-02-2023","319.95","316.00","321.00","315.05","219.96K","1.33%"
"23-02-2023","315.75","316.00","320.85","315.00","243.21K","-0.05%"
"22-02-2023","315.90","323.40","323.40","315.00","366.02K","-1.80%"
"21-02-2023","321.70","322.90","323.00","321.10","92.68K","0.16%"
"20-02-2023","321.20","324.60","325.15","320.50","157.99K","-0.85%"
"17-02-2023","323.95","324.80","325.75","323.05","135.61K","-0.26%"
"16-02-2023","324.80","325.00","328.95","323.05","267.21K","0.64%"
"15-02-2023","322.75","325.00","326.95","320.85","268.05K","-1.06%"
"14-02-2023","326.20","326.00","328.80","325.20","180.12K","0.08%"
"13-02-2023","325.95","329.85","329.90","325.00","276.11K","-1.18%"
"10-02-2023","329.85","327.25","331.00","327.00","205.43K","0.79%"
"09-02-2023","327.25","329.05","332.50","325.25","559.50K","-0.52%"
"08-02-2023","328.95","331.25","336.15","327.25","346.57K","-0.93%"
"07-02-2023","332.05","339.00","340.20","330.20","573.60K","-1.89%"
"06-02-2023","338.45","335.85","344.75","335.00","556.89K","-2.25%"
"03-02-2023","346.25","344.00","349.60","340.30","695.42K","0.73%"
