Date,Price,Open,High,Low,Vol.,Change %,WAD,MA20,MA10
07-10-2022,345.0,330.0,347.75,328.0,5.55M,4.34%,-355.4999999999997,326.0475,326.91999999999996
06-10-2022,330.65,300.0,334.2,298.15,10.89M,12.75%,-369.84999999999974,326.335,328.26
04-10-2022,293.25,296.5,299.7,292.0,1.11M,0.46%,-407.2499999999997,324.4525,325.73
03-10-2022,291.9,300.0,304.9,289.1,835.13K,-2.81%,-420.2499999999997,322.15999999999997,322.71500000000003
30-09-2022,300.35,296.3,305.0,292.0,1.25M,0.43%,-411.79999999999967,319.76,320.315
29-09-2022,299.05,299.0,302.0,286.35,1.17M,2.40%,-414.74999999999966,317.83000000000004,318.17
28-09-2022,292.05,295.0,300.7,290.1,837.89K,-2.41%,-423.39999999999964,316.52,315.35499999999996
27-09-2022,299.25,297.75,308.6,296.55,1.11M,1.05%,-416.19999999999965,315.75249999999994,312.36
26-09-2022,296.15,310.3,316.0,293.25,2.04M,-7.19%,-436.04999999999967,315.04,309.29
23-09-2022,319.1,328.5,333.25,316.2,846.32K,-3.78%,-413.0999999999996,315.16499999999996,306.675
22-09-2022,331.65,335.5,340.25,329.05,905.62K,-1.68%,-400.54999999999967,316.13,305.34000000000003
21-09-2022,337.3,340.0,347.45,333.25,1.23M,-0.52%,-394.89999999999964,317.13250000000005,306.005
20-09-2022,339.05,346.0,353.8,336.0,1.95M,-1.52%,-391.8499999999996,318.15749999999997,310.585
19-09-2022,344.3,328.7,348.7,319.35,1.79M,4.54%,-366.89999999999964,319.27,315.825
16-09-2022,329.35,342.55,345.7,322.0,1.48M,-3.26%,-383.2499999999996,319.52000000000004,318.725
15-09-2022,340.45,348.4,348.4,337.3,1.09M,-1.26%,-372.14999999999964,320.51750000000004,322.865
14-09-2022,344.8,341.8,356.2,337.0,1.81M,0.22%,-364.3499999999996,321.7475,328.14
13-09-2022,344.05,350.6,351.25,342.1,932.34K,-1.33%,-371.5499999999996,322.49,332.62
12-09-2022,348.7,351.25,354.9,348.0,785.55K,-0.07%,-366.89999999999964,323.58250000000004,337.875
09-09-2022,348.95,353.45,355.0,346.0,875.56K,-0.75%,-363.94999999999965,323.76750000000004,340.86
08-09-2022,351.6,355.05,359.9,348.0,1.13M,-0.34%,-360.3499999999996,324.0975,342.855
07-09-2022,352.8,359.55,366.8,350.7,1.62M,-1.77%,-358.2499999999996,325.20500000000004,344.40500000000003
06-09-2022,359.15,358.75,364.8,351.1,1.94M,0.91%,-350.19999999999965,328.5,346.415
05-09-2022,355.9,351.5,369.0,344.0,3.29M,2.04%,-363.29999999999967,331.7,347.575
02-09-2022,348.8,356.45,358.8,343.25,1.71M,-1.26%,-373.29999999999967,334.1225,349.52000000000004
01-09-2022,353.25,342.0,358.5,342.0,4.28M,3.58%,-362.04999999999967,336.8325,350.8
30-08-2022,341.05,319.65,346.0,319.65,7.90M,7.23%,-374.24999999999966,339.2825,350.425
29-08-2022,318.05,309.0,325.0,307.55,805.96K,-0.44%,-397.24999999999966,340.2225,347.825
26-08-2022,319.45,322.35,326.9,317.05,615.74K,-0.67%,-394.8499999999997,341.3875,344.9
