Date,Price,Open,High,Low,Vol.,Change %,WAD,MA20,MA10
11-04-2023,242,248.8,250.35,241.25,878.78K,-2.67%,-419.65,255.535,250.81
10-04-2023,248.65,253,255.6,247.2,593.19K,-1.33%,-413,254.725,249.68500000000003
06-04-2023,252,252,255.5,250.5,701.37K,-0.40%,-409.65,254.3,248.965
05-04-2023,253,252.55,256.75,249,2.13M,1.08%,-405.65,253.79500000000002,248.9
03-04-2023,250.3,242.75,253.85,240.55,1.42M,3.92%,-409.2,253.2875,247.98499999999999
31-03-2023,240.85,244,250.4,238.1,2.47M,1.77%,-418.75,252.3875,247.26499999999996
29-03-2023,236.65,223,240,223,2.73M,6.46%,-422.95,251.14000000000001,246.16
28-03-2023,222.3,227.1,230.5,221,1.64M,-2.11%,-437.3,249.36999999999998,243.555
27-03-2023,227.1,237.85,238.75,225.05,1.02M,-4.06%,-432.5,247.69,241.71999999999997
24-03-2023,236.7,247.95,249.45,234.55,938.09K,-4.54%,-422.9,246.6975,240.95499999999998
23-03-2023,247.95,249.5,252.35,246.5,670.34K,-1.25%,-411.65,246.17999999999998,241.55
22-03-2023,251.1,252.05,256.25,248.8,1.82M,-0.38%,-408.5,245.74,241.795
21-03-2023,252.05,248.5,255.55,247.3,1.46M,2.46%,-403.75,245.38250000000002,241.8
20-03-2023,246,251.9,255.75,244,1.14M,-2.34%,-413.5,245,241.1
17-03-2023,251.9,257,264.65,248.25,1.43M,-1.08%,-407.6,244.6225,241.26
16-03-2023,254.65,256,257.45,247.2,1.44M,-0.61%,-400.15,244.95250000000001,242.64000000000001
15-03-2023,256.2,252.8,261.35,251,1.75M,2.26%,-394.95,245.3775,244.59499999999997
14-03-2023,250.55,260.15,265.5,247.8,1.79M,-3.21%,-409.9,245.4875,247.42
13-03-2023,258.85,268.35,273.65,255.15,1.27M,-3.54%,-401.6,246.15749999999997,250.59499999999997
10-03-2023,268.35,265,273,262.55,1.99M,-0.52%,-392.1,247.35750000000002,253.76000000000005
09-03-2023,269.75,277,277,267.5,2.09M,-3.00%,-389.85,248.74500000000003,255.94
08-03-2023,278.1,265,282,261.25,5.46M,3.21%,-373,250.21749999999997,258.64
06-03-2023,269.45,243.8,274,242.7,9.06M,11.04%,-381.65,251.09,260.38
03-03-2023,242.65,230,249.65,229.1,5.06M,6.03%,-408.45,250.5725,260.04499999999996
02-03-2023,228.85,230,232.85,226.8,1.15M,-2.08%,-422.25,249.5,257.74
01-03-2023,233.7,230.5,242.05,228.2,3.90M,-0.40%,-416.75,249.1425,255.64500000000004
28-02-2023,234.65,209.8,236.8,208.15,7.27M,12.68%,-390.25,249.04249999999996,253.48999999999995
27-02-2023,208.25,211.65,211.65,204.65,600.03K,-1.65%,-416.65,248.34,249.26
24-02-2023,211.75,214.4,218.6,210.1,586.45K,-1.21%,-413.15,247.5725,244.55
23-02-2023,214.35,220,221.5,212.5,865.51K,-2.46%,-410.55,246.455,239.15
22-02-2023,219.75,221.75,226,219,470.44K,-1.70%,-405.15,245.04500000000002,234.15
21-02-2023,223.55,222.5,231,220,1.06M,0.61%,-401.35,243.66750000000002,228.695
20-02-2023,222.2,225,226.9,221.75,519.66K,-1.68%,-406.05,242.175,223.97000000000003
17-02-2023,226,223.9,228.5,222,643.64K,0.89%,-402.05,241.175,222.305
16-02-2023,224,229.85,232.45,223.3,550.66K,-1.60%,-410.5,239.78000000000003,221.82000000000002
15-02-2023,227.65,222.45,229.4,222,776.32K,2.31%,-404.85,238.42999999999998,221.215
14-02-2023,222.5,226.4,227.2,221,315.37K,-0.91%,-410,236.74499999999998,220
13-02-2023,224.55,230.75,231.65,224,265.23K,-2.35%,-407.95,235.445,221.63000000000002
10-02-2023,229.95,235.6,236,228.3,483.58K,-2.71%,-402.55,234,223.45
09-02-2023,236.35,225.95,238.7,224,1.31M,5.51%,-390.2,232.4,225.65
08-02-2023,224,221.5,225.85,219.15,430.61K,1.61%,-402.55,230.1125,226.075
07-02-2023,220.45,224.8,228.3,219.1,421.06K,-1.98%,-410.4,227.23000000000002,225.76499999999996
06-02-2023,224.9,221.75,228.8,221.15,438.69K,1.93%,-405.95,225.00249999999997,226.035
03-02-2023,220.65,226.2,228.2,216.7,671.78K,-2.15%,-413.5,223.9025,225.5
02-02-2023,225.5,235,238.8,224.5,705.23K,-4.12%,-408.65,223.73499999999999,225.65
01-02-2023,235.2,240,248.85,231,950.64K,-1.32%,-398.95,223.81,226.40500000000003
31-01-2023,238.35,229.8,239.75,229.5,575.51K,3.83%,-390.1,223.99500000000003,227.99
30-01-2023,229.55,237.25,241.15,226.9,616.19K,-2.94%,-401.7,225.06,228.48999999999995
27-01-2023,236.5,242.15,242.2,230,603.14K,-2.19%,-394.75,226.29749999999999,229.14499999999998
25-01-2023,241.8,248,248.95,240.05,415.54K,-2.22%,-389.45,227.67,229.69
24-01-2023,247.3,248.55,251.85,246.55,700.29K,0.18%,-383.95,229.04749999999999,232.02000000000004
23-01-2023,246.85,255,255,245.85,1.60M,-5.91%,-392.1,230.2125,234.66
20-01-2023,262.35,267.25,268.85,261.8,450.52K,-1.28%,-376.6,232.21999999999997,238.40500000000003
19-01-2023,265.75,266.2,270,265,785.32K,0.34%,-373.2,234.20749999999998,242.91500000000002
18-01-2023,264.85,267.1,269.8,263,513.50K,-0.36%,-378.15,236.25,246.85
17-01-2023,265.8,268.95,270.15,265,454.27K,-0.89%,-377.2,238.15750000000003,249.91000000000003
16-01-2023,268.2,269,278.8,265,1.02M,0.11%,-374,240.44250000000002,252.89499999999998
13-01-2023,267.9,273.75,276,265.95,579.06K,-2.01%,-382.1,242.60999999999999,256.73
12-01-2023,273.4,279.65,279.65,270.9,295.62K,-2.13%,-376.6,244.78250000000003,260.42
11-01-2023,279.35,283,283.4,278.1,299.82K,-1.39%,-370.65,246.93249999999998,264.175
10-01-2023,283.3,284.55,285.55,277.1,262.15K,-0.42%,-364.45,249.89749999999998,267.775
09-01-2023,284.5,281.1,286.75,278.6,437.62K,2.04%,-358.55,253.1,271.54
06-01-2023,278.8,281,282.4,276.4,240.81K,-0.78%,-364.25,255.79500000000002,273.185
05-01-2023,281,284.9,285.8,278.3,321.34K,-1.21%,-361.55,258.8125,274.71
04-01-2023,284.45,290,291.5,283.4,390.57K,-1.90%,-358.1,261.76,276.67
03-01-2023,289.95,295.3,295.4,289,365.52K,-1.23%,-352.6,264.4975,279.085
02-01-2023,293.55,288.95,297.9,288,1.01M,2.07%,-347.05,267.2575,281.62
30-12-2022,287.6,288.2,289.9,286,464.51K,0.38%,-353,270.16,283.59000000000003
29-12-2022,286.5,285.85,292.25,284,1.64M,0.92%,-358.75,272.66,284.9
28-12-2022,283.9,271.75,293.4,269.9,1.91M,5.17%,-368.25,274.765,285.355
27-12-2022,269.95,268.4,271,262.95,699.68K,2.37%,-382.2,275.8975,284.02
26-12-2022,263.7,253.3,268.3,245.9,735.58K,4.11%,-388.45,276.73999999999995,281.93999999999994
23-12-2022,253.3,265.95,267.8,248,1.73M,-6.20%,-402.95,276.2875,279.39
22-12-2022,270.05,269,275,257.5,1.30M,0.75%,-386.2,276.5025,278.295
21-12-2022,268.05,279.75,283.7,265,617.16K,-3.84%,-401.85,276.6625,276.655
20-12-2022,278.75,280,280.4,271.95,788.99K,-0.41%,-391.15,277.31,275.53499999999997
19-12-2022,279.9,287,287.5,278.35,790.24K,-2.17%,-389.6,277.895,274.16999999999996
16-12-2022,286.1,293.5,295.25,285,607.18K,-2.82%,-383.4,278.805,274.02
